info, 1, /workspace/perf_tester/corpus/akka/akka-actor/target/scala-2.12/classes
header,id,phaseId,phaseName,type,id,comment,wallClockTimeMs,idleTimeMs,cpuTimeMs,userTimeMs,allocatedMB,retainedHeapMB,gcTimeMs
data,2,1,parser,single,-1,--, 285.325854,0.0,279.802,278.266,44.515448,44.566384,0
data,2,1,parser,total,-1,--, 285.325854,0.0,279.802,278.266,44.515448,44.566384,0
data,2,2,namer,single,-1,--, 27.053796,0.0,26.155,25.972,3.746048,3.932352,0
data,2,2,namer,total,-1,--, 27.053796,0.0,26.155,25.972,3.746048,3.932352,0
data,2,3,packageobjects,single,-1,--, 3.777276,0.0,3.771,3.702,0.335776,0.655384,0
data,2,3,packageobjects,total,-1,--, 3.777276,0.0,3.771,3.702,0.335776,0.655384,0
GC,84935, 84951
GC,86557, 86584
GC,87890, 87917
data,2,4,typer,single,-1,--, 4693.535336,0.0,4521.817,4480.126,682.793152,126.110512,71
data,2,4,typer,total,-1,--, 4693.535336,0.0,4521.817,4480.126,682.793152,126.110512,71
GC,89217, 89247
data,2,5,patmat,single,-1,--, 1208.962287,0.0,1153.305,1145.167,133.351184,-58.714952,30
data,2,5,patmat,total,-1,--, 1208.962287,0.0,1153.305,1145.167,133.351184,-58.714952,30
data,2,6,superaccessors,single,-1,--, 90.022833,0.0,83.595,83.219,24.073384,24.376464,0
data,2,6,superaccessors,total,-1,--, 90.022833,0.0,83.595,83.219,24.073384,24.376464,0
data,2,7,extmethods,single,-1,--, 33.202208,0.0,32.872,32.75,5.235448,3.482344,0
data,2,7,extmethods,total,-1,--, 33.202208,0.0,32.872,32.75,5.235448,3.482344,0
data,2,8,pickler,single,-1,--, 88.017296,0.0,85.683,85.13,21.741712,20.900184,0
data,2,8,pickler,total,-1,--, 88.017296,0.0,85.683,85.13,21.741712,20.900184,0
GC,90607, 90619
GC,91627, 91637
data,2,9,xsbt-api,single,-1,--, 1350.494727,0.0,1244.753,1232.22,322.894696,-80.380016,21
data,2,9,xsbt-api,total,-1,--, 1350.494727,0.0,1244.753,1232.22,322.894696,-80.380016,21
data,2,10,xsbt-dependency,single,-1,--, 241.666213,0.0,235.387,232.916,82.819424,82.319216,0
data,2,10,xsbt-dependency,total,-1,--, 241.666213,0.0,235.387,232.916,82.819424,82.319216,0
data,2,11,refchecks,single,-1,--, 619.317578,0.0,607.119,602.777,74.392016,71.480344,0
data,2,11,refchecks,total,-1,--, 619.317578,0.0,607.119,602.777,74.392016,71.480344,0
GC,92686, 92697
data,2,12,uncurry,single,-1,--, 385.621499,0.0,369.286,366.482,62.949936,-148.729104,11
data,2,12,uncurry,total,-1,--, 385.621499,0.0,369.286,366.482,62.949936,-148.729104,11
data,2,13,fields,single,-1,--, 184.444372,0.0,182.881,181.612,30.2748,26.662256,0
data,2,13,fields,total,-1,--, 184.444372,0.0,182.881,181.612,30.2748,26.662256,0
data,2,14,tailcalls,single,-1,--, 116.682721,0.0,116.262,115.996,14.679368,17.774864,0
data,2,14,tailcalls,total,-1,--, 116.682721,0.0,116.262,115.996,14.679368,17.774864,0
data,2,15,specialize,single,-1,--, 400.970208,0.0,398.201,395.451,101.446328,102.221528,0
data,2,15,specialize,total,-1,--, 400.970208,0.0,398.201,395.451,101.446328,102.221528,0
GC,93889, 93915
data,2,16,explicitouter,single,-1,--, 190.831715,0.0,161.501,159.821,32.872776,-181.533824,26
data,2,16,explicitouter,total,-1,--, 190.831715,0.0,161.501,159.821,32.872776,-181.533824,26
data,2,17,erasure,single,-1,--, 1270.900467,0.0,1241.863,1234.987,202.545536,202.985584,0
data,2,17,erasure,total,-1,--, 1270.900467,0.0,1241.863,1234.987,202.545536,202.985584,0
data,2,18,posterasure,single,-1,--, 106.735653,0.0,105.54,104.962,17.458448,15.19264,0
data,2,18,posterasure,total,-1,--, 106.735653,0.0,105.54,104.962,17.458448,15.19264,0
GC,95347, 95367
data,2,19,lambdalift,single,-1,--, 181.101904,0.0,157.534,155.873,38.919816,-189.415768,20
data,2,19,lambdalift,total,-1,--, 181.101904,0.0,157.534,155.873,38.919816,-189.415768,20
data,2,20,constructors,single,-1,--, 165.130882,0.0,162.027,160.997,17.761568,19.16156,0
data,2,20,constructors,total,-1,--, 165.130882,0.0,162.027,160.997,17.761568,19.16156,0
data,2,21,flatten,single,-1,--, 64.106902,0.0,63.839,63.59,7.431296,9.580768,0
data,2,21,flatten,total,-1,--, 64.106902,0.0,63.839,63.59,7.431296,9.580768,0
data,2,22,mixin,single,-1,--, 380.15696,0.0,343.236,340.263,55.119728,52.705008,0
data,2,22,mixin,total,-1,--, 380.15696,0.0,343.236,340.263,55.119728,52.705008,0
data,2,23,cleanup,single,-1,--, 73.08952,0.0,59.312,58.839,6.504256,4.792672,0
data,2,23,cleanup,total,-1,--, 73.08952,0.0,59.312,58.839,6.504256,4.792672,0
data,2,24,delambdafy,single,-1,--, 289.736859,0.0,253.168,249.613,23.074208,23.952064,0
data,2,24,delambdafy,total,-1,--, 289.736859,0.0,253.168,249.613,23.074208,23.952064,0
GC,96956, 96980
GC,98048, 98059
data,2,25,jvm,single,-1,--, 2032.241778,0.0,1951.314,1724.022,478.97856,5.782528,35
data,2,25,jvm,total,-1,--, 2032.241778,0.0,1951.314,1724.022,478.97856,5.782528,35
data,2,26,xsbt-analyzer,single,-1,--, 21.283463,0.0,21.234,17.515,4.234784,5.047552,0
data,2,26,xsbt-analyzer,total,-1,--, 21.283463,0.0,21.234,17.515,4.234784,5.047552,0
